,google_hits0,google_hits1,google_hits2,google_hits3,google_hits4,google_hits5,google_hits6,google_hits7,google_hits8,google_hits9,google_hits10,google_hits11,google_hits12,google_hits13,google_hits14,google_hits15,google_hits16,google_hits17,google_hits18,google_hits19,google_hits20,google_hits21,google_hits22,google_hits23,google_hits24,google_hits25,google_hits26,google_hits27,google_hits28,google_hits29,google_hits30,google_hits31,google_hits32,google_hits33,google_hits34,google_hits35,google_hits36,google_hits37,google_hits38,google_hits39,google_hits40,google_hits41,google_hits42,google_hits43,google_hits44,google_hits45,google_hits46,google_hits47,google_hits48,google_hits49,google_hits50,google_hits51,google_hits52,google_hits53,google_hits54,google_hits55,google_hits56,google_hits57,google_hits58,google_hits59,google_hits60,google_hits61,google_hits62,google_hits63,google_hits64,google_hits65,google_hits66,google_hits67,Dates
5873,0.0,4.0,45.0,3.0,72.0,16.0,9.0,55.0,6.0,25.0,4.0,86.0,4.0,14.0,8.0,84.0,14.0,55.0,15.0,11.0,9.0,60.0,15.0,2.0,7.0,7.0,30.0,42.0,30.0,38.0,2.0,1.0,1.0,28.0,1.0,5.0,3.0,11.0,4.0,9.0,1.0,1.0,5.0,1.0,3.0,2.0,19.0,3.0,5.0,14.0,11.0,3.0,14.0,3.0,15.0,35.0,44.0,1.0,27.0,2.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,8.0,5/22/14
5874,0.0,4.0,45.0,3.0,72.0,16.0,9.0,55.0,6.0,25.0,4.0,86.0,4.0,14.0,8.0,84.0,14.0,55.0,15.0,11.0,9.0,60.0,15.0,2.0,7.0,7.0,30.0,42.0,30.0,38.0,2.0,1.0,1.0,28.0,1.0,5.0,3.0,11.0,4.0,9.0,1.0,1.0,5.0,1.0,3.0,2.0,19.0,3.0,5.0,14.0,11.0,3.0,14.0,3.0,15.0,35.0,44.0,1.0,27.0,2.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,8.0,5/23/14
5875,0.0,4.0,45.0,3.0,72.0,16.0,9.0,55.0,6.0,25.0,4.0,86.0,4.0,14.0,8.0,84.0,14.0,55.0,15.0,11.0,9.0,60.0,15.0,2.0,7.0,7.0,30.0,42.0,30.0,38.0,2.0,1.0,1.0,28.0,1.0,5.0,3.0,11.0,4.0,9.0,1.0,1.0,5.0,1.0,3.0,2.0,19.0,3.0,5.0,14.0,11.0,3.0,14.0,3.0,15.0,35.0,44.0,1.0,27.0,2.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,8.0,5/27/14
5876,0.0,4.0,45.0,3.0,72.0,16.0,9.0,55.0,6.0,25.0,4.0,86.0,4.0,14.0,8.0,84.0,14.0,55.0,15.0,11.0,9.0,60.0,15.0,2.0,7.0,7.0,30.0,42.0,30.0,38.0,2.0,1.0,1.0,28.0,1.0,5.0,3.0,11.0,4.0,9.0,1.0,1.0,5.0,1.0,3.0,2.0,19.0,3.0,5.0,14.0,11.0,3.0,14.0,3.0,15.0,35.0,44.0,1.0,27.0,2.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,8.0,5/28/14
5877,0.0,4.0,45.0,3.0,72.0,16.0,9.0,55.0,6.0,25.0,4.0,86.0,4.0,14.0,8.0,84.0,14.0,55.0,15.0,11.0,9.0,60.0,15.0,2.0,7.0,7.0,30.0,42.0,30.0,38.0,2.0,1.0,1.0,28.0,1.0,5.0,3.0,11.0,4.0,9.0,1.0,1.0,5.0,1.0,3.0,2.0,19.0,3.0,5.0,14.0,11.0,3.0,14.0,3.0,15.0,35.0,44.0,1.0,27.0,2.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,8.0,5/29/14
5878,0.0,4.0,45.0,3.0,72.0,16.0,9.0,55.0,6.0,25.0,4.0,86.0,4.0,14.0,8.0,84.0,14.0,55.0,15.0,11.0,9.0,60.0,15.0,2.0,7.0,7.0,30.0,42.0,30.0,38.0,2.0,1.0,1.0,28.0,1.0,5.0,3.0,11.0,4.0,9.0,1.0,1.0,5.0,1.0,3.0,2.0,19.0,3.0,5.0,14.0,11.0,3.0,14.0,3.0,15.0,35.0,44.0,1.0,27.0,2.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,8.0,5/30/14
5879,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/2/14
5880,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/3/14
5881,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/4/14
5882,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/5/14
5883,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/6/14
5884,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/9/14
5885,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/10/14
5886,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/11/14
5887,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/12/14
5888,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/13/14
5889,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/16/14
5890,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/17/14
5891,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/18/14
5892,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/19/14
5893,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/20/14
5894,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/23/14
5895,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/24/14
5896,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/25/14
5897,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/26/14
5898,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/27/14
5899,0.0,4.0,43.0,3.0,69.0,14.0,8.0,56.0,6.0,23.0,4.0,86.0,3.0,13.0,6.0,88.0,13.0,52.0,14.0,11.0,9.0,59.0,14.0,2.0,7.0,7.0,27.0,44.0,24.0,39.0,2.0,1.0,1.0,28.0,1.0,6.0,4.0,10.0,4.0,8.0,0.0,2.0,5.0,1.0,2.0,2.0,18.0,2.0,5.0,7.0,13.0,3.0,12.0,3.0,11.0,34.0,62.0,1.0,24.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,8.0,6/30/14
5900,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/1/14
5901,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/2/14
5902,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/3/14
5903,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/7/14
5904,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/8/14
5905,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/9/14
5906,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/10/14
5907,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/11/14
5908,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/14/14
5909,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/15/14
5910,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/16/14
5911,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/17/14
5912,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/18/14
5913,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/21/14
5914,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/22/14
5915,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/23/14
5916,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/24/14
5917,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/25/14
5918,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/28/14
5919,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/29/14
5920,0.0,4.0,45.0,3.0,76.0,14.0,7.0,59.0,7.0,24.0,3.0,90.0,4.0,16.0,6.0,87.0,13.0,53.0,14.0,11.0,9.0,60.0,14.0,2.0,7.0,7.0,27.0,42.0,22.0,40.0,2.0,0.0,0.0,29.0,1.0,5.0,5.0,10.0,4.0,9.0,0.0,1.0,4.0,1.0,3.0,2.0,16.0,3.0,7.0,5.0,11.0,2.0,11.0,3.0,14.0,59.0,39.0,2.0,21.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,9.0,7/30/14
